added_date,filtered_tokens
2019-12-31 21:30:49,"['opposit', 'support', 'progress', 'budget', 'would', 'fulfil', 'pledg', 'made', 'rule', 'parti', 'dure', 'presidenti', 'elect', 'unf', 'led', 'allianc', 'presidenti', 'candid', 'sajith', 'premadasa', 'said', 'todayopposit', 'extend', 'support', 'progress', 'budget', 'sajith']"
2019-12-31 20:55:15,"['polic', 'set', 'special', 'oper', 'unit', 'supervis', 'deputi', 'inspector', 'gener', 'dig', 'curb', 'unlaw', 'activ', 'organ', 'crimin', 'group', 'defenc', 'ministri', 'said', 'todayspeci', 'unit', 'curb', 'crimin', 'activ']"
2019-12-31 20:31:47,"['former', 'chief', 'govern', 'whip', 'gayantha', 'karunatillek', 'tip', 'new', 'chief', 'opposit', 'whip', 'keep', 'practis', 'adopt', 'unit', 'nation', 'parti', 'unp', 'appoint', 'former', 'chief', 'govern', 'whip', 'post', 'unp', 'mp', 'vajira', 'abeywarden', 'said', 'todaygayantha', 'tip', 'chief', 'opposit', 'whip']"
2019-12-31 20:26:13,"['pivithuru', 'hela', 'urumaya', 'phu', 'said', 'today', 'govern', 'wa', 'face', 'difficult', 'situat', 'becaus', 'previou', 'govern', 'decis', 'award', 'resid', 'tna', 'leader', 'r', 'sampanthan', 'colombo', 'special', 'privilegegovt', 'catch', 'situat', 'phu']"
2019-12-31 20:26:30,"['current', 'onli', 'five', 'eleph', 'suitabl', 'carri', 'sacr', 'relic', 'sri', 'dalada', 'maligawa', 'esala', 'perahera', 'diyawadana', 'nilam', 'dn', 'pradeep', 'nilanga', 'dela', 'bandara', 'told', 'daili', 'mirroronli', 'five', 'eleph', 'suitabl', 'carri', 'relic', 'dn']"
2019-12-31 19:05:12,"['switzerland', 'yesterday', 'said', 'never', 'intend', 'tarnish', 'imag', 'sri', 'lankan', 'govern', 'regret', 'recent', 'develop', 'led', 'question', 'sri', 'lanka', 'commit', 'due', 'processswitzerland', 'regret', 'sl', 'commit', 'due', 'process', 'question']"
2019-12-31 18:31:35,"['presid', 'gotabaya', 'rajapaksa', 'today', 'instruct', 'author', 'exempt', 'appli', 'light', 'vehicl', 'lv', 'licens', 'full', 'medic', 'examin', 'limit', 'examin', 'applic', 'heavi', 'vehicl', 'licensesvis', 'test', 'suffici', 'lv', 'licens', 'prez']"
2019-12-31 17:51:10,"['former', 'state', 'pharmaceut', 'corpor', 'spc', 'chairman', 'drrumi', 'moham', 'wa', 'remand', 'white', 'van', 'case', 'seen', 'court', 'pix', 'damith', 'wickramasingherumi', 'court']"
2019-12-31 16:46:16,"['attorney', 'gener', 'depart', 'ha', 'conclud', 'crimin', 'case', 'submit', 'indict', 'high', 'court', 'discharg', 'suspectsov', 'crimin', 'case', 'conclud', 'ag']"
2019-12-31 16:55:20,"['presid', 'gotabaya', 'rajapaksa', 'today', 'appoint', 'armi', 'command', 'shavendra', 'silva', 'act', 'chief', 'defenc', 'staff', 'cd', 'concurr', 'effect', 'tomorrow', 'offici', 'sourc', 'saidshavendra', 'appoint', 'act', 'cd']"
2019-12-31 16:41:59,"['former', 'state', 'pharmaceut', 'corpor', 'spc', 'chairman', 'drrumi', 'moham', 'wa', 'abscond', 'white', 'van', 'press', 'confer', 'case', 'wa', 'remand', 'till', 'januari', 'colombo', 'addit', 'magistr', 'chalani', 'pererafmr', 'spc', 'chairman', 'remand', 'till', 'jan']"
2019-12-31 15:51:05,"['swiss', 'feder', 'depart', 'foreign', 'affair', 'fdfa', 'today', 'welcom', 'releas', 'swiss', 'embassi', 'local', 'staffer', 'garnier', 'banist', 'francisswitzerland', 'welcom', 'releas', 'garnier']"
